artistName|artistUri|songName|songUri|songDuration|songPopularity|played_at
Jimi Hendrix|spotify:artist:776Uo845nYHJpNaStv1Ds4|Bold as Love|spotify:track:0uco0wQkB909zpPlHvu5Cc|251013|56|2021-04-16T20:08:15.546Z
Stevie Ray Vaughan|spotify:artist:5fsDcuclIe8ZiBD5P787K1|Lenny|spotify:track:0h4jHdNzUrV9eGR2PT5R8c|297373|56|2021-04-16T20:04:04.062Z
Jonny Lang|spotify:artist:5rX1EodZfwxmW4fQX2Caot|Lie To Me|spotify:track:6DCALWbYX0BCOAGy0hMmRs|251306|54|2021-04-16T19:59:06.189Z
JJ Grey & Mofro|spotify:artist:1Jl8u1U1GtBlwocZK5LWZv|Tupelo Honey|spotify:track:77sIXAMhhX9wDqzSHM34w8|286000|60|2021-04-16T19:54:54.418Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Long Train Runnin'|spotify:track:4nXkbcTj3nyww1cHkw5RAP|207266|73|2021-04-16T19:50:07.917Z
Etta James|spotify:artist:0iOVhN3tnSvgDbcg25JoJb|At Last|spotify:track:4Hhv2vrOTy89HFRcjU3QOx|179693|76|2021-04-16T19:46:40.156Z
B.B. King|spotify:artist:5xLSa7l4IV1gsQfhAMvl0U|The Thrill Is Gone|spotify:track:3cg0dJfrQB66Qf2YthPb6G|301133|64|2021-04-16T19:43:39.981Z
Stevie Ray Vaughan|spotify:artist:5fsDcuclIe8ZiBD5P787K1|Mary Had a Little Lamb|spotify:track:0nFZ2HQRnIxiwraCm2X6Uq|166960|59|2021-04-16T19:38:38.357Z
Jimi Hendrix|spotify:artist:776Uo845nYHJpNaStv1Ds4|Little Wing|spotify:track:1Eolhana7nKHYpcYpdVcT5|145746|71|2021-04-16T19:35:50.908Z
Thin Lizzy|spotify:artist:6biWAmrHyiMkX49LkycGqQ|Still In Love With You|spotify:track:0RW2GdRcn5qTrZPhXQLqML|340040|37|2021-04-16T19:33:24.678Z
Gary Moore|spotify:artist:23wr9RJZg0PmYvVFyNkQ4j|Still Got The Blues|spotify:track:0DnGfA1r8pAssJCuq4ojla|370866|68|2021-04-16T19:27:43.407Z
