artistName|artistUri|songName|songUri|songDuration|songPopularity|played_at
Jim Perkins|spotify:artist:6ihM9B0SRS5Xcvsw03Y1Vi|Outside|spotify:track:1R5P9ersiA9xKk00JEXfSU|118000|58|2021-02-17T22:24:01.196Z
Lihua Zhao|spotify:artist:7dsYrsCwrZat4t33c7RXPe|Yellow river|spotify:track:5NBR0JGRYOcWmGk25ri4k4|200000|51|2021-02-17T22:22:02.697Z
Mildred Wolf|spotify:artist:3Pj0inogFqTDKgCC5OVTaz|A Place Like This|spotify:track:40QoUnq2ZWMT04wEjDYMMp|121500|55|2021-02-17T22:18:42.222Z
Olai Ruud|spotify:artist:7ccZXba0d4vnn8JTLHD8AR|Trolltunga|spotify:track:3oVLlrUbiNHDHlu3Ro6M2I|128500|47|2021-02-17T22:16:40.229Z
Pamela Goldings|spotify:artist:0zz0ZeRODmieOdGKeznHQA|Young Love|spotify:track:5LS7VV5Gp3evv8pjcpTDDu|143500|65|2021-02-17T22:14:31.228Z
Pamela Goldings|spotify:artist:0zz0ZeRODmieOdGKeznHQA|Young Love|spotify:track:5LS7VV5Gp3evv8pjcpTDDu|143500|65|2021-02-17T22:12:13.417Z
Ivan Blois|spotify:artist:4dH20BbKaKVPBfwfmvUfZp|Close To You|spotify:track:7zuK6SB9iQN17ZLOdCcCjd|127500|60|2021-02-17T22:12:08.399Z
Barry Hudson-Taylor|spotify:artist:3MuhX7tuEdOUvsOGg7ui02|Connotations|spotify:track:7BohLbjDypEKLJ9CGQbyXT|171500|59|2021-02-17T21:27:07.313Z
Rich Mortimer|spotify:artist:0WMQidVblrSXVtlhpMcQTI|Just For Now|spotify:track:2mmkokfVO72zAHkz9OTRZO|110000|60|2021-02-17T21:24:15.322Z
Valbona Ceferin|spotify:artist:2iH6SSywrGgmHMA5ODnZcJ|Rana ura, zlata ura|spotify:track:2jDEufyL95jHPBuxOf5Azt|123250|55|2021-02-17T21:22:24.825Z
Stephan Moccio|spotify:artist:25s9H1JQmTu3iuFzpXWUIg|Freddie's Theme|spotify:track:2oBPx5k5ejQcgzyDMoRlAU|135360|60|2021-02-17T21:20:21.081Z
Jamie Bendrodt|spotify:artist:3NBXKIjJCcTcDmhq7cbyei|If Only|spotify:track:3NBuhsRRawz3pK7Y8MImwX|124250|56|2021-02-17T21:18:05.235Z
Wolfgang Schulmann|spotify:artist:0AUguA7F9t87WF6krMPXyz|Der Vogel auf dem Felsen|spotify:track:6qeY26kCmlIzpLZVibJU4M|140170|63|2021-02-17T21:15:59.491Z
Charlotte Funke|spotify:artist:3yO7osdYZcoKHt0kTZT486|Episode|spotify:track:1drr6zT3kdWCr78jPuBYDt|150438|57|2021-02-17T21:13:38.831Z
Jacob David|spotify:artist:2ClAWj3iKUlyddnvR6faUP|Lillian|spotify:track:6DGMmL7Y0CG0OFEvRepJpq|127000|65|2021-02-17T21:11:07.900Z
Csizmazia Etel|spotify:artist:0fzi88EmWAkkGiMVuIIi1S|Szerelem|spotify:track:2QaodYIN7GD9X50xZRIEDc|120500|56|2021-02-17T21:09:00.413Z
James DiResta|spotify:artist:3eV4rEEDa28eEDqtKAz99w|Can´t Help Smiling|spotify:track:2iVPty0FBstGSURghngIgo|164000|61|2021-02-17T21:06:59.413Z
Jitka Kubr|spotify:artist:2AnS9arngrjxzamktyEB8D|Komorebi|spotify:track:7wFCIItq3bxHsgRZVFvU0k|112000|55|2021-02-17T21:04:14.925Z
Jesse Brown|spotify:artist:5ou3jxRm9LFgxvuZij5LBT|Whispered Winds|spotify:track:3Ts6C6TMvIzPIvdudMX7bH|148843|59|2021-02-17T21:02:22.429Z
Remi Sinclair|spotify:artist:2e43Th3IHo39TLIcMpeFbn|Dancing Butterflies|spotify:track:4h5GTzoptGcmml3VwBkP6t|118793|59|2021-02-17T20:59:53.103Z
Niels Saunders|spotify:artist:6nlfg6qBEp3xeCBIkgqOmu|Memory Lane|spotify:track:1z2q4Dmj24cBFnkkV0GPli|138179|61|2021-02-17T20:57:53.812Z
Minik Jakobsen|spotify:artist:6UJfJw5p9sg08LBKb9Ckfe|Infatuation|spotify:track:3EOylKjaenyKmwO4R9IDBz|155000|60|2021-02-17T20:53:07.254Z
Lihua Zhao|spotify:artist:7dsYrsCwrZat4t33c7RXPe|Legendary Love|spotify:track:3JXtJtFkP8gVIl3BM2ajr5|187187|62|2021-02-17T20:50:31.753Z
Edvard Kravchuk|spotify:artist:0LK67TfgE1O9GrBXJ9KLUe|Moment of Silence|spotify:track:5bAeFY9aWmcu0PKqDfUNgc|213066|59|2021-02-17T20:47:24.079Z
Joy Meyer-Williams|spotify:artist:0uGHltM64FZJWH1uOr8YWU|The Dreams We Left Behind|spotify:track:6KZtv7JVe8fKXaIHPj3Gb2|182663|64|2021-02-17T20:43:50.507Z
Jens Wechsler|spotify:artist:5BsoSlrs9ny1GMWKpESjyZ|Aller Anfang ist schwer|spotify:track:2XVccQz5rm9Uti3hrTmBoB|121500|57|2021-02-17T20:40:47.373Z
Ossie Woods|spotify:artist:2RNWon12U1hD0DZNKPwXVl|Le Beau|spotify:track:2sXivDlzfbHQAPrGYKhWbP|205302|62|2021-02-17T20:38:45.376Z
Robin Bennich|spotify:artist:1GfrQqvl1vPBIgZZJTDAvM|Looking Forward, Looking Backward|spotify:track:7aqdP378yeJaww92qG8EsC|177875|50|2021-02-17T13:52:37.589Z
Jessie Ware|spotify:artist:5Mq7iqCWBzofK39FBqblNc|Running - Disclosure 2021 VIP|spotify:track:2F1ZC6Z0pAqfvPqsNwqr7D|392383|53|2021-02-17T05:48:33.391Z
Stephan Moccio|spotify:artist:25s9H1JQmTu3iuFzpXWUIg|Fracture|spotify:track:6GLy7czJd5VC2Jf47lpj12|207640|52|2021-02-16T21:27:25.868Z
Alexandra Streliski|spotify:artist:0HyM2wwUfOsZYD4Dj5IOOZ|Burnout Fugue|spotify:track:2fQJuQ0MhsEmRyzBakNUjY|172199|49|2021-02-16T21:23:57.730Z
Peter Sandberg|spotify:artist:3LtlJprzuq0Ii8p8YFZXai|Motion|spotify:track:25kGCuGWAYfyoz7RozlTpO|191120|53|2021-02-16T21:21:05.048Z
Carluccio|spotify:artist:06bxyT4bXPZaKsInaJ75UL|Now and Then|spotify:track:3flrE9SDAQj4hP2kKzcHOG|147250|59|2021-02-16T21:17:53.434Z
Gavin Luke|spotify:artist:2bqAlaRiT91dCQ7KMGnP8i|Night Walk|spotify:track:0ePG8cXgoLfOqVYVX8Ju6a|140585|60|2021-02-16T21:15:25.704Z
Yiruma|spotify:artist:0fauHpmSHwodVYIjTqOGHz|River Flows In You|spotify:track:2agBDIr9MYDUducQPC1sFU|188786|68|2021-02-16T21:13:04.629Z
Stephan Moccio|spotify:artist:25s9H1JQmTu3iuFzpXWUIg|Whitby|spotify:track:03b9EWz24mTfDvnrE8G41I|195240|47|2021-02-16T21:09:55.340Z
Alexandra Streliski|spotify:artist:0HyM2wwUfOsZYD4Dj5IOOZ|Changing Winds|spotify:track:436awEpc0xnabbR0z4i0Qw|193810|46|2021-02-16T21:06:39.620Z
Jesse Brown|spotify:artist:5ou3jxRm9LFgxvuZij5LBT|Notes From Tom|spotify:track:0MXNBq9JKgNoUprg9PMQwA|167768|59|2021-02-16T21:03:25.318Z
Lihua Zhao|spotify:artist:7dsYrsCwrZat4t33c7RXPe|Familiar Grounds|spotify:track:0XmzqchrogvmI01Bo7xtLG|237000|57|2021-02-16T21:00:37.080Z
Yiruma|spotify:artist:0fauHpmSHwodVYIjTqOGHz|Kiss The Rain|spotify:track:7vd1j4IDTU0koES9M8dvBQ|260653|60|2021-02-16T20:56:37.922Z
Yiruma|spotify:artist:0fauHpmSHwodVYIjTqOGHz|River Flows In You|spotify:track:2agBDIr9MYDUducQPC1sFU|188786|68|2021-02-16T20:52:16.760Z
Yiruma|spotify:artist:0fauHpmSHwodVYIjTqOGHz|Kiss The Rain|spotify:track:7vd1j4IDTU0koES9M8dvBQ|260653|60|2021-02-16T20:38:56.765Z
Stephan Moccio|spotify:artist:25s9H1JQmTu3iuFzpXWUIg|Sea Change|spotify:track:3pJnfyKoVePwVmljB6Wun1|171213|67|2021-02-16T16:57:29.923Z
Mark Millson|spotify:artist:3wIkO7KPoP7jhrn7OA4yvG|All My Words|spotify:track:4t6nAyyW8FEEXbN5MLAjtL|161750|54|2021-02-16T16:54:38.211Z
Bernadette Boulet|spotify:artist:40Da6NXKY8x4oGkVoCcIFw|Pour toujours|spotify:track:6vkmvL8i9sfIHoAlzJcfAO|144576|65|2021-02-16T16:51:55.975Z
Hideyuki Hashimoto|spotify:artist:3NMfMCA11Xo7RUc91o64Og|Koto|spotify:track:0LWWi4CHmFfPDV005TLzPP|168608|60|2021-02-16T16:49:32.260Z
Oscar Sergel|spotify:artist:0di12xR3Qca66XeRGBn1z8|Maurice|spotify:track:7l92bhAAWWCnRrbmekFSor|167043|61|2021-02-16T16:46:55.078Z
James DiResta|spotify:artist:3eV4rEEDa28eEDqtKAz99w|Juniper|spotify:track:1glbxURPMi2PpcD4AmufxL|220000|63|2021-02-16T16:44:07.533Z
Jacob David|spotify:artist:2ClAWj3iKUlyddnvR6faUP|Lillian|spotify:track:6DGMmL7Y0CG0OFEvRepJpq|127000|65|2021-02-16T16:25:56.060Z
Renard Francis|spotify:artist:1TQQ7EEYrOne3L7iiCObNX|Days Like These|spotify:track:7pwDWr9QNRAv6N63MY2mRn|249624|61|2021-02-16T16:23:48.532Z
Minette Martin|spotify:artist:3wQXisRiLi09Cw9UUSd0cA|Remembering|spotify:track:6kwqwIUxDK84yXyfL7jvGf|138804|69|2021-02-16T16:19:38.452Z
Kiara Leonard|spotify:artist:0fAevrRhdDPOCXbd7FYR8P|Larks|spotify:track:0DCuRxadki9VQU5pskJrUG|174000|56|2021-02-16T16:17:19.155Z
Elliott Jacqués|spotify:artist:22WxwAyT9U9wWsKA7ToO7K|Kaleidoscope|spotify:track:3WiissyVFRpCVrqbyPKZxZ|121068|65|2021-02-16T16:14:24.663Z
Spiritchaser|spotify:artist:05FYF8i0eXeZjLLLcgc8HJ|These Tears|spotify:track:13LGIgEw2T6UArM1O6mg8O|366892|18|2021-02-15T21:51:34.661Z
Stephan Moccio|spotify:artist:25s9H1JQmTu3iuFzpXWUIg|Fracture|spotify:track:6GLy7czJd5VC2Jf47lpj12|207640|52|2021-02-15T21:10:40.782Z
Biba Dupont|spotify:artist:7vwpKCVjqvSn8RVOhD38g9|Riego de Agua|spotify:track:2JpahlAlHmqVCMTtUN0aZI|144000|62|2021-02-15T21:09:10.304Z
S.A. Karl|spotify:artist:5wvtkvwPR6pF2h7H6f08tM|Aldebaran|spotify:track:4bn5nDWccvgalkZGVzth00|198000|60|2021-02-15T21:06:47.957Z
Arelius|spotify:artist:5EPSFsZ4hH2NhjBNsVwQfH|Water|spotify:track:1U7Syyn2lRotoO9Zq8JpRI|117409|47|2021-02-15T21:03:31.456Z
Gavin Luke|spotify:artist:2bqAlaRiT91dCQ7KMGnP8i|Summer Memories|spotify:track:2Jr8bmTiSIKWvn3OpTyN9s|167921|59|2021-02-15T21:01:35.933Z
Ever So Blue|spotify:artist:6LwcYWG1molG0KW2xwnPd2|Remembering|spotify:track:15BXZpDEzGSoKRdqvEieXQ|121423|67|2021-02-15T20:58:49.614Z
Stephan Moccio|spotify:artist:25s9H1JQmTu3iuFzpXWUIg|Whitby|spotify:track:03b9EWz24mTfDvnrE8G41I|195240|47|2021-02-15T20:56:49.887Z
Berlioz|spotify:artist:6kndrupH2JaLYqh1wBKGar|Isla De Flores|spotify:track:7tDHMhO0bJpbkXzMyMIE0b|159124|57|2021-02-15T20:53:36.052Z
Alexandra Streliski|spotify:artist:0HyM2wwUfOsZYD4Dj5IOOZ|Berceuse|spotify:track:1oRiHGYKCbWRI5OFCIHK1N|154946|48|2021-02-15T20:50:58.810Z
Robin Bennich|spotify:artist:1GfrQqvl1vPBIgZZJTDAvM|Looking Forward, Looking Backward|spotify:track:7aqdP378yeJaww92qG8EsC|177875|50|2021-02-15T20:48:25.440Z
JJ Lin|spotify:artist:7Dx7RhX0mFuXhCOUgB01uM|她說|spotify:track:632VyMrvhsHIsO4zq9khts|318499|59|2021-02-14T22:25:46.239Z
Yoyo Sham|spotify:artist:2OrCYFzQYE1TmevdYARnU1|如果我是一首歌 - Live at Blue Note Beijing 2017|spotify:track:6OicFiWzboOK6nCHIw0gxJ|203776|20|2021-02-14T22:24:00.630Z
Yoyo Sham|spotify:artist:2OrCYFzQYE1TmevdYARnU1|追光者 (電視劇《夏至未至》插曲)|spotify:track:0F4IKZU7I3tWXyJIlqhtqU|235833|59|2021-02-14T22:20:37.925Z
F.I.R.|spotify:artist:5oqLnVZzJJXE3YnzzZfRKu|千年之戀|spotify:track:6J3YmODloSi669U6cKbtTH|228173|41|2021-02-14T22:16:43.778Z
JJ Lin|spotify:artist:7Dx7RhX0mFuXhCOUgB01uM|愛笑的眼睛|spotify:track:2SxXpn73WqM4zWhmWxeQ4s|251521|50|2021-02-14T22:12:57.939Z
JJ Lin|spotify:artist:7Dx7RhX0mFuXhCOUgB01uM|小酒窩|spotify:track:5OFtU1YvHPw9WSHJxoZi3r|216024|33|2021-02-14T22:08:48.360Z
Jay Chou|spotify:artist:2elBjNSdBE2Y3f0j1mjrql|七里香|spotify:track:3kwqNLXvsjSrIXbVsRBj8q|295306|54|2021-02-14T22:05:13.321Z
F.I.R.|spotify:artist:5oqLnVZzJJXE3YnzzZfRKu|你的微笑|spotify:track:4eNeCUAnq5XuXwGanJb8qi|261493|43|2021-02-14T22:00:20.401Z
Sammi Cheng|spotify:artist:3XCnp5UV5wnNw49Xuka9qH|我們都是這樣長大的|spotify:track:37gQxPrcu81gpr5SbOlIJO|283184|49|2021-02-14T19:51:08.760Z
Eason Chan|spotify:artist:2QcZxAgcs2I1q7CtCkl6MI|我們 - 《後來的我們》電影主題曲|spotify:track:0Uf0SvwUrf02ucIt1d0Wos|260878|56|2021-02-14T19:46:59.938Z
Miriam Yeung|spotify:artist:1rxk3vAYWeiBD2Q6FCezcl|小城大事|spotify:track:2yDm6S26Nc5LitK7GTz8wp|208506|45|2021-02-14T19:42:40.633Z
薛明媛|spotify:artist:7j15ACuH4YxdpLiuBHvFAv|非酋|spotify:track:6PPqL3Oj5qzpTN8xG19W2z|172200|43|2021-02-14T19:39:14.168Z
JJ Lin|spotify:artist:7Dx7RhX0mFuXhCOUgB01uM|Bei Feng Chui Guo De Xia Tian|spotify:track:645H077V7sEit1bULQ9kil|256946|14|2021-02-14T19:36:23.402Z
JJ Lin|spotify:artist:7Dx7RhX0mFuXhCOUgB01uM|突然累了|spotify:track:3fjOzgvAtKM0UeZF9tvU4F|251000|27|2021-02-14T19:32:08.312Z
Alex Hook|spotify:artist:5crDtS0zvUv8JInPEHiige|Right Now - Original Mix|spotify:track:6uaKbpJpqnjzcj1QSnXzMr|314196|37|2021-02-14T01:44:35.491Z
Georg Levin|spotify:artist:5irzRcjrMrXFfQqCoDkuW5|(I Got) Somebody New|spotify:track:3TOVOYv0gqW1v1yngK9kLm|377193|35|2021-02-14T01:39:21.206Z
Moe Turk|spotify:artist:12rv3gD3SpWQRRkswqlwvF|Reflections|spotify:track:29I7I4DCLIORxKoHZUVi1R|359418|19|2021-02-14T01:31:40.534Z
Kevin Yost|spotify:artist:1FPV5yJGV2urezFSaXrYDV|If She Only Knew|spotify:track:4uYEhYjwMCPCuqPbUz6MOm|419000|31|2021-02-14T01:25:41.425Z
Evren Furtuna|spotify:artist:2NykTAY9IaV2yBQ6FWaL2m|So Far Away|spotify:track:0rWSxMbNVpCimTeXcuTJdO|425106|22|2021-02-14T01:18:42.207Z
Moe Turk|spotify:artist:12rv3gD3SpWQRRkswqlwvF|Lost|spotify:track:2t7MoYPZdgmGtoTyskyVr2|337735|23|2021-02-14T01:11:32.214Z
PJ Morton|spotify:artist:2FMOHE79X98yptp4RpPrt7|How Deep Is Your Love|spotify:track:0loJyuSFr6vVPBQSmLLrrQ|197081|58|2021-02-13T18:30:10.189Z
Miguel Migs|spotify:artist:6sqqGHyJ1Dnt1qKKe9iGAi|Breakin' It Down|spotify:track:0niIl5noAbDrXC6sJ0F3zO|383933|42|2021-02-13T18:29:27.958Z
James Vickery|spotify:artist:68tR0TsEKX89ID4fyBMgch|Pressure (with SG Lewis)|spotify:track:04ToULF2xWTbVtfAUk6K7P|169411|61|2021-02-13T18:22:49.721Z
James Vickery|spotify:artist:68tR0TsEKX89ID4fyBMgch|Pressure (with SG Lewis)|spotify:track:04ToULF2xWTbVtfAUk6K7P|169411|61|2021-02-13T18:20:02.524Z
Yoyo Sham|spotify:artist:2OrCYFzQYE1TmevdYARnU1|牆 - Live at Blue Note Beijing 2017|spotify:track:2z9lENOakfiYbC83bq7673|311189|17|2021-02-13T05:12:08.094Z
Wanting|spotify:artist:2OC4lXfGEKZkbmRCcf2vTq|You Exist In My Song|spotify:track:5dyt4y2ubvpyP4ZyfEqkbv|214720|44|2021-02-13T04:47:40.866Z
Yoyo Sham|spotify:artist:2OrCYFzQYE1TmevdYARnU1|追光者 (電視劇《夏至未至》插曲)|spotify:track:0F4IKZU7I3tWXyJIlqhtqU|235833|59|2021-02-13T04:44:04.372Z
薛明媛|spotify:artist:7j15ACuH4YxdpLiuBHvFAv|非酋|spotify:track:6PPqL3Oj5qzpTN8xG19W2z|172200|43|2021-02-13T04:36:49.562Z
Etta James|spotify:artist:0iOVhN3tnSvgDbcg25JoJb|A Sunday Kind Of Love|spotify:track:0zGLlXbHlrAyBN1x6sY0rb|196133|69|2021-02-13T04:31:07.470Z
Robin Bennich|spotify:artist:1GfrQqvl1vPBIgZZJTDAvM|Looking Forward, Looking Backward|spotify:track:7aqdP378yeJaww92qG8EsC|177875|50|2021-02-12T20:06:53.841Z
Yiruma|spotify:artist:0fauHpmSHwodVYIjTqOGHz|River Flows In You|spotify:track:2agBDIr9MYDUducQPC1sFU|188786|68|2021-02-12T19:57:37.983Z
Teodor Wolgers|spotify:artist:150sLjaVg4A3g4M0Pvs4Qr|supine|spotify:track:7IMGJM5S0YYcQhvtdeJH14|208000|59|2021-02-12T19:54:30.993Z
Peter Cavallo|spotify:artist:4wkhNurLn15nvnOh3O8yCV|Quietly Quietly|spotify:track:4WWzf8XjwjnvlCtXBd3y6c|202500|58|2021-02-12T19:51:04.735Z
Stephan Moccio|spotify:artist:25s9H1JQmTu3iuFzpXWUIg|Sea Change|spotify:track:60tXDXk5K67J18XNgZ7JZt|171213|53|2021-02-12T19:47:43.470Z
Gavin Luke|spotify:artist:2bqAlaRiT91dCQ7KMGnP8i|Night Walk|spotify:track:0ePG8cXgoLfOqVYVX8Ju6a|140585|60|2021-02-12T19:44:53.998Z
Jesse Brown|spotify:artist:5ou3jxRm9LFgxvuZij5LBT|Notes From Tom|spotify:track:0MXNBq9JKgNoUprg9PMQwA|167768|59|2021-02-12T19:42:35.218Z
Alexandra Streliski|spotify:artist:0HyM2wwUfOsZYD4Dj5IOOZ|Changing Winds|spotify:track:436awEpc0xnabbR0z4i0Qw|193810|46|2021-02-12T19:39:48.968Z
Yiruma|spotify:artist:0fauHpmSHwodVYIjTqOGHz|Kiss The Rain|spotify:track:7vd1j4IDTU0koES9M8dvBQ|260653|60|2021-02-12T19:36:33.233Z
Yiruma|spotify:artist:0fauHpmSHwodVYIjTqOGHz|River Flows In You|spotify:track:2agBDIr9MYDUducQPC1sFU|188786|68|2021-02-12T19:32:14.408Z
Yiruma|spotify:artist:0fauHpmSHwodVYIjTqOGHz|River Flows In You|spotify:track:2agBDIr9MYDUducQPC1sFU|188786|68|2021-02-12T19:30:56.093Z
Yiruma|spotify:artist:0fauHpmSHwodVYIjTqOGHz|Kiss The Rain|spotify:track:7vd1j4IDTU0koES9M8dvBQ|260653|60|2021-02-12T14:12:01.519Z
Raveena|spotify:artist:2kQnsbKnIiMahOetwlfcaS|Honey|spotify:track:6ohzjop0VYBRZ12ichlwg5|272331|56|2021-02-12T13:37:47.148Z
Raveena|spotify:artist:2kQnsbKnIiMahOetwlfcaS|Close 2 U|spotify:track:7rgvhF2a3WjRkRtx2lndyc|239834|61|2021-02-11T23:57:33.293Z
Kraak & Smaak|spotify:artist:7c5qu1gNlg8jWDzzmlp89O|Don't Want This to Be Over|spotify:track:6jag4moGKMJfZYl0liyLB7|317143|47|2021-02-11T23:53:34.801Z
Choices|spotify:artist:4b8VMgANTqO8rYghVccOSI|Less Is More|spotify:track:7MWJzAWFWT1ZSvf3D2dQrG|314754|38|2021-02-11T23:48:19.624Z
Lihua Zhao|spotify:artist:7dsYrsCwrZat4t33c7RXPe|Familiar Grounds|spotify:track:0XmzqchrogvmI01Bo7xtLG|237000|57|2021-02-11T23:43:06.525Z
Hayden James|spotify:artist:4csQIMQm6vI2A2SCVDuM2z|Favours|spotify:track:4paNNGZD8qM134qqdiCEeI|234743|56|2021-02-11T23:39:10.957Z
Sonny Fodera|spotify:artist:39B7ChWwrWDs7zXlsu3MoP|To Love (feat. Shannon Saunders)|spotify:track:6JjvOQ9fzmltytSQS14PHg|259658|53|2021-02-11T23:35:18.123Z
Sonny Fodera|spotify:artist:39B7ChWwrWDs7zXlsu3MoP|Wasted (feat. Kate Elsworth) - Extended Mix|spotify:track:7FHmwwfUawBpdtG3uqOAxl|346650|14|2021-02-11T23:30:59.991Z
Purple Disco Machine|spotify:artist:2WBJQGf1bT1kxuoqziH5g4|Take It Easy|spotify:track:7rof14VDdOWRZHkCZIBXiM|286064|30|2021-02-11T23:25:14.995Z
Just Kiddin|spotify:artist:4bazJLWIv8CuqmgxJRiGqo|Body Talk|spotify:track:1iiuYKdJrhOWt2LwSTyiVx|196023|45|2021-02-11T23:20:30.556Z
PJ Morton|spotify:artist:2FMOHE79X98yptp4RpPrt7|How Deep Is Your Love|spotify:track:0loJyuSFr6vVPBQSmLLrrQ|197081|58|2021-02-11T23:17:16.354Z
FRANZ|spotify:artist:4pAtdFcsdl8iMusalbOlLS|Little Bit|spotify:track:4jSE62RlWF2f2FhUGSJKz5|228000|49|2021-02-11T23:14:00.913Z
PJ Morton|spotify:artist:2FMOHE79X98yptp4RpPrt7|How Deep Is Your Love (feat. Yebba) - Live|spotify:track:3SjAiqAQ6sMmsJBeVw0nMf|210132|58|2021-02-11T23:10:14.453Z
Athletic Progression|spotify:artist:2BBIIe7eBYThLcIrZGZb3I|WHITE CRAYON|spotify:track:2XXfb3FToGrAOZKGJ1Nwhj|271250|52|2021-02-11T23:06:45.961Z
Miguel Migs|spotify:artist:6sqqGHyJ1Dnt1qKKe9iGAi|Breakin' It Down|spotify:track:0niIl5noAbDrXC6sJ0F3zO|383933|42|2021-02-11T23:02:16.540Z
Colette|spotify:artist:2kvvZpHkDunKzqQKufMVI1|Hotwire - Sonny Fodera Classic Mix|spotify:track:175KJcPgA2v1kjJI7fb6gH|379354|13|2021-02-11T22:55:54.221Z
Colette|spotify:artist:2kvvZpHkDunKzqQKufMVI1|Sexuality... He's 2 Young - Home & Garden's Drum Lingo Mix|spotify:track:11bhC0cVwMWkZ0p4LwLb80|545632|10|2021-02-11T22:49:36.409Z
Petalpusher|spotify:artist:6YNzHcfGjio4VBJPLTKIDp|You Bring Me Up - Mig's Rise Up-n-Dub|spotify:track:3va0syMmMoexCJqOhOnMNP|397066|11|2021-02-11T22:40:32.514Z
Lisa Shaw|spotify:artist:36AfPbkMSwrFoWMQ9sUARb|Born To Fly - Joey's Fetish Mix|spotify:track:5hwg8zIgOkfVR0GVXuXRJY|409626|3|2021-02-11T22:33:57.049Z
Dax On Sax|spotify:artist:34kqwuxefhb3zaLeCP3hdo|Other Side - Sebb Junior Remix|spotify:track:7nnxg1Q8Jeb5GXgaw0Q2Ca|372203|11|2021-02-11T22:27:09.063Z
Funkyloco|spotify:artist:3knsNwz9SExxVHmRZa8Fec|Stand Up - Sebastian Manuel Remix|spotify:track:2mIquwms9VnviokQGmkvmH|375003|0|2021-02-11T22:20:58.543Z
Immaculate Styles|spotify:artist:2BTTT96rIbvO3qgYPT5iO2|I Wanna Let You Know - Sebb Junior Underground Dub Mix|spotify:track:3caItUz10IvNMahOUDKUFu|368000|2|2021-02-11T22:14:45.336Z
Samantha James|spotify:artist:37w4Pd5kBVdyhUR1Q5L6CA|Rise - Eric Kupper Remix|spotify:track:4d19NdQZFYs8qtD3plJe2T|460866|30|2021-02-11T22:08:38.845Z
Samantha James|spotify:artist:37w4Pd5kBVdyhUR1Q5L6CA|Rise - Eric Kupper Remix|spotify:track:4d19NdQZFYs8qtD3plJe2T|460866|30|2021-02-11T22:03:39.124Z
Frankie Knuckles|spotify:artist:63yl9nDNrHpiAYGlNJxxjc|Let's Stay Home - A Director’s Cut Classic Club Mix|spotify:track:18RIAEXnNdbqtJkgUqaYfZ|465978|31|2021-02-11T21:56:40.863Z
Spiritchaser|spotify:artist:05FYF8i0eXeZjLLLcgc8HJ|So Clear - Future Dub|spotify:track:1eBzz7B1KJyrw9YQ8Vf1Ui|444000|9|2021-02-11T21:24:39.881Z
Spiritchaser|spotify:artist:05FYF8i0eXeZjLLLcgc8HJ|Yesterday's Gone - Club Mix|spotify:track:4XapjCORa5lB5egm7aJVSG|403548|17|2021-02-11T21:17:15.415Z
Sebb Junior|spotify:artist:0oP6v3SuOC5jPc5pGUQdsD|Love Tonight - Original Mix|spotify:track:1A4iQzr9cYyb9k7i2jDNzs|434000|26|2021-02-11T21:10:31.421Z
Fish Go Deep|spotify:artist:0fOlkKkWVb6gOtwUXL2i0y|The Cure and the Cause|spotify:track:0EGSEGLpYovkcaC9XOUSPT|383800|27|2021-02-11T21:03:15.395Z
Ross Couch|spotify:artist:6n9tw6ZtS39CELDQAKvanX|Body Rhythm|spotify:track:39AZ0whGKCkK1z0hODEWm3|376530|13|2021-02-11T20:56:50.133Z
Spiritchaser|spotify:artist:05FYF8i0eXeZjLLLcgc8HJ|Paradise Row - Richard Earnshaw's Horizon Re-Vision|spotify:track:4MyJOlmUs8uJrOzjVWU6W7|428852|21|2021-02-11T20:50:33.142Z
Spiritchaser|spotify:artist:05FYF8i0eXeZjLLLcgc8HJ|Sueño Latino|spotify:track:0rJMliz0YY0VTtrKXz7qmW|456198|10|2021-02-11T20:43:23.796Z
Tortured Soul|spotify:artist:365Fm0OgkStvN1wWzeyfDN|I'll Be There for You|spotify:track:3cv9UNYnzqt6ofjlq6h8pk|281451|41|2021-02-11T20:35:47.146Z
Miguel Migs|spotify:artist:6sqqGHyJ1Dnt1qKKe9iGAi|Moving Light|spotify:track:1one1vueIukAOA1HjCZIJU|304051|25|2021-02-11T20:31:05.230Z
Ross Couch|spotify:artist:6n9tw6ZtS39CELDQAKvanX|Last One Home (Spirtchaser Remix)|spotify:track:575oSCzLBBrGsTQ9KDbEiS|470400|13|2021-02-11T20:26:00.691Z
Sebb Junior|spotify:artist:0oP6v3SuOC5jPc5pGUQdsD|Come Back - Art Of Tones Remix|spotify:track:10rzvkZUtmGS2ae2wYGbOI|215251|24|2021-02-11T20:18:09.804Z
Sandy Rivera|spotify:artist:6eChRUoyiCUCrUbwbT9Jq3|Changes (feat. Haze)|spotify:track:4gdRQZGZ0mfxHzlQbF97rH|235066|30|2021-02-11T20:14:34.094Z
Richard Earnshaw|spotify:artist:7g1UCyeUY5EDPlLLIu16ra|Rise|spotify:track:0MaQuFkyOav01SbKFARhQF|376066|35|2021-02-11T20:10:38.552Z
Richard Earnshaw|spotify:artist:7g1UCyeUY5EDPlLLIu16ra|Can't Go Back - Classic Vocal Mix|spotify:track:7lWSEw6YA2gFYZpD5SYXEy|395409|8|2021-02-11T20:04:21.998Z
